SHA,Author,Author_Date,Lines of Code (LOC),Non-Comment Lines of Code (NCLOC),Lines of Classes,Average Complexity per Class,No. Classes,Total Complexity of Classes
7e0bca0b093debc5c0177729148d13db699d61d1,Abu Baker Siddique,2016-06-28,5250,2735,517,1.84,72,132.48000000000002
4b5e3a010594ca93bfd4281d40bed5e1f138366b,Graham Campbell,2015-12-11,5250,2735,517,1.84,72,132.48000000000002
eb28540a319e691c18b3a4d795504941528b49ad,Roman Toroshin,2015-09-30,5250,2735,517,1.84,72,132.48000000000002
38d30578e02ced04fe641ce739d6076907a9231d,Miharbi Hernandez,2015-09-09,5250,2735,517,1.84,72,132.48000000000002
a74e5022e311ddecba9945e5356cc3b5f2b803d4,Graham Campbell,2015-09-06,5250,2735,517,1.84,72,132.48000000000002
fd6aee3c9fccbfbd7cab5567b5d9190ac970e33d,Joey Xie,2015-09-05,5250,2735,517,1.84,72,132.48000000000002
eb4d63c8aa10e1ebeccba3a97d9e7a94ad79ee4f,Graham Campbell,2015-08-22,5250,2735,517,1.84,72,132.48000000000002
17263db90a9865ad0d9637be3bcd5cefedd9d7a1,Graham Campbell,2015-08-21,5250,2735,517,1.84,72,132.48000000000002
f24a0024179b958e3179d967995ca1c786dfeae1,Graham Campbell,2015-08-10,5530,2889,534,1.8,76,136.8
9dadd81bb74540ac4bcbd3b69b946c4b1ed3c9ef,Graham Campbell,2015-08-03,5530,2889,534,1.8,76,136.8
477e0dc72c17a7df261d340c5aa778908929de0e,Graham Campbell,2015-07-16,5530,2889,534,1.8,76,136.8
9ea6290d6c8c7ff70c7a130dd51a25dad5eac631,Graham Campbell,2015-06-25,5529,2888,534,1.8,76,136.8
1af336fbcb94bb90ee544f19cda07809a85ca0fd,Graham Campbell,2015-06-24,5529,2888,534,1.8,76,136.8
2c45875a0188ca3552626c1539e14e3eeabd627c,Ryan Matthews,2015-06-10,5530,2889,534,1.8,76,136.8
9dcc0ea188a4bc086a6294ae8ad64810787b00a3,Ryan Matthews,2015-06-04,5530,2889,534,1.8,76,136.8
92f49bfdec6c4e7af947476235c158cc29d83863,Ryan Matthews,2015-05-30,5529,2888,534,1.8,76,136.8
92106f582dc61f889b786088f75fe6df6c80f352,Graham Campbell,2015-05-26,5529,2888,534,1.8,76,136.8
817f1b2fa948ad1bcc3f66f794650204ce96ccd5,Graham Campbell,2015-05-25,5529,2888,534,1.8,76,136.8
6735b16af3976e503b1b3a74f268c0f7d3027843,Graham Campbell,2015-05-24,5529,2888,534,1.8,76,136.8
0912bc9316746f9456723e4c86f7c4dc76d25e58,Graham Campbell,2015-05-23,5529,2888,534,1.8,76,136.8
525e9bcc4f98c7a87f15ee2bbea6fa9d24fb016b,Graham Campbell,2015-05-17,5529,2888,534,1.8,76,136.8
8f1411e0e4638835ce9a5060603dcb8ef3ffd4db,Graham Campbell,2015-05-07,5529,2888,534,1.8,76,136.8
0471e88972cb4dba7aa6862503229be7a8f5fae5,Adam Brown,2015-04-23,5529,2888,534,1.8,76,136.8
37eaf361a2db94ccf04b252953c8ba22c9bfc3eb,Graham Campbell,2015-04-04,5529,2888,534,1.8,76,136.8
e3ed506c3c853ee73d650a7c10f7db99c24aba8b,Graham Campbell,2015-03-16,5529,2888,534,1.8,76,136.8
f3b2a4e905d51cd8641db1161050434e85b44059,Graham Campbell,2015-03-15,5529,2888,534,1.8,76,136.8
b6ba8895505486e507c9542509f49b03932572c1,Graham Campbell,2015-03-13,5528,2887,534,1.8,76,136.8
9830ed45cb97b26012770a933e2d7a43472c1026,Graham Campbell,2015-03-11,5375,3029,55,1.0,5,5.0
301c809a6f1b03fb31bcdff7e7e69a393d3b9822,Graham Campbell,2015-02-12,5528,2887,534,1.8,76,136.8
567cbca94842634c054c1f9627a6ba530cee9164,Graham Campbell,2015-02-11,5375,3029,55,1.0,5,5.0
c50c86bf909e6fa5e69579dab25703208975c232,Graham Campbell,2015-02-10,5528,2887,534,1.8,76,136.8
02ba2a15fccf9fb7a6e2c9ac74580a3f301adbe5,Graham Campbell,2015-02-09,5528,2887,534,1.8,76,136.8
9fbc1bf23c0b6e9323278b94378ae805325c64bf,Graham Campbell,2015-02-06,5375,3029,55,1.0,5,5.0
da48e7e0d6070ac257ea9530c61479fc44c7346e,Graham Campbell,2015-02-04,5375,3029,55,1.0,5,5.0
